Item Name,Item Brand,Item Features,Item Category
"iPhone X","Brand: Apple","RAM: 8GB, Model: iPhone X, Colour: Silver","Electronics"
"Top","Brand: Nike","Size: Large, Colour: Silver, Colour: Black","Clothing"
"Sofa","Brand: IKEA","Type: Sofa,Colour: Brown","Furniture"
"Console","Brand: Sony","Colour: gold, Model: play station 5","Electronics"
"Bookcase","Brand: IKEA","Type: Bookcase, Colour: white","Furniture"
"Shoes","Brand: Nike","Size: 7, Colour: blue","Clothing"
"Jacket","Brand: Next","Size: Medium, Colour: blue","Clothing"
"Chair","Brand: DFS","Type: chair, Colour: white","Furniture"
"Air Pods","Brand: Apple","Colour: white","Electronics"
"Samsung S20","Brand: Samsung","RAM:6GB, Model:S20, Colour: green","Electronics"
"Samsung S10","Brand:Samsung","RAM:3GB, Model:S10, Colour: black","Electronics"
